Year,Month ,Inflation,,,,,,,,
2012,Jan,2.3,,,,,,,,
2012,Feb,2.2,,,,,,,,
2012,Mar,2.3,,,,,,,,
2012,Apr,2.3,,,,,,,,
2012,May,2.3,,,,,,,,
2012,Jun,2.2,,,,,,,,
2012,Jul,2.1,,,,,,,,
2012,Aug,1.9,,,,,,,,
2012,Sep,2.0,,,,,,,,
2012,Oct,2.0,,,,,,,,
2012,Nov,1.9,,,,,,,,
2012,Dec ,1.9,,,,,,,,
2013,Jan,1.9,,,,,,,,
2013,Feb,2.0,,,,,,,,
2013,Mar,1.9,,,,,,,,
2013,Apr,1.7,,,,,,,,
2013,May,1.7,,,,,,,,
2013,Jun,1.6,,,,,,,,
2013,Jul,1.7,,,,,,,,
2013,Aug,1.8,,,,,,,,
2013,Sep,1.7,,,,,,,,
2013,Oct,1.7,,,,,,,,
2013,Nov,1.7,,,,,,,,
2013,Dec ,1.7,,,,,,,,
2014,Jan,1.6,,,,,,,,
2014,Feb,1.6,,,,,,,,
2014,Mar,1.7,,,,,,,,
2014,Apr,1.8,,,,,,,,
2014,May,2.0,,,,,,,,
2014,Jun,1.9,,,,,,,,
2014,Jul,1.9,,,,,,,,
2014,Aug,1.7,,,,,,,,
2014,Sep,1.7,,,,,,,,
2014,Oct,1.8,,,,,,,,
2014,Nov,1.7,,,,,,,,
2014,Dec ,1.6,,,,,,,,
2015,Jan,1.6,,,,,,,,
2015,Feb,1.7,,,,,,,,
2015,Mar,1.8,,,,,,,,
2015,Apr,1.8,,,,,,,,
2015,May,1.7,,,,,,,,
2015,Jun,1.8,,,,,,,,
2015,Jul,1.8,,,,,,,,
2015,Aug,1.8,,,,,,,,
2015,Sep,1.9,,,,,,,,
2015,Oct,1.9,,,,,,,,
2015,Nov,2.0,,,,,,,,
2015,Dec ,2.1,,,,,,,,
2016,Jan,2.2,,,,,,,,
2016,Feb,2.3,,,,,,,,
2016,Mar,2.2,,,,,,,,
2016,Apr,2.1,,,,,,,,
2016,May,2.2,,,,,,,,
2016,Jun,2.2,,,,,,,,
2016,Jul,2.2,,,,,,,,
2016,Aug,2.3,,,,,,,,
2016,Sep,2.2,,,,,,,,
2016,Oct,2.1,,,,,,,,
2016,Nov,2.1,,,,,,,,
2016,Dec ,2.2,,,,,,,,
2017,Jan,2.3,,,,,,,,
2017,Feb,2.2,,,,,,,,
2017,Mar,2.0,,,,,,,,
2017,Apr,1.9,,,,,,,,
2017,May,1.7,,,,,,,,
2017,Jun,1.7,,,,,,,,
2017,Jul,1.7,,,,,,,,
2017,Aug,1.7,,,,,,,,
2017,Sep,1.7,,,,,,,,
2017,Oct,1.8,,,,,,,,
2017,Nov,1.7,,,,,,,,
2017,Dec ,1.8,,,,,,,,
2018,Jan,1.8,,,,,,,,
2018,Feb,1.8,,,,,,,,
2018,Mar,2.1,,,,,,,,
2018,Apr,2.1,,,,,,,,
2018,May,2.2,,,,,,,,
2018,Jun,2.3,,,,,,,,
2018,Jul,2.4,,,,,,,,
2018,Aug,2.2,,,,,,,,
2018,Sep,2.2,,,,,,,,
2018,Oct,2.1,,,,,,,,
2018,Nov,2.2,,,,,,,,
2018,Dec ,2.2,,,,,,,,
2019,Jan,2.2,,,,,,,,
2019,Feb,2.1,,,,,,,,
2019,Mar,2.0,,,,,,,,
2019,Apr,2.1,,,,,,,,
2019,May,2.0,,,,,,,,
2019,Jun,2.1,,,,,,,,
2019,Jul,2.2,,,,,,,,
2019,Aug,2.4,,,,,,,,
2019,Sep,2.4,,,,,,,,
2019,Oct,2.3,,,,,,,,
2019,Nov,2.3,,,,,,,,
2019,Dec ,2.3,,,,,,,,
2020,Jan,2.3,,,,,,,,
2020,Feb,2.4,,,,,,,,
2020,Mar,2.1,,,,,,,,
2020,Apr,1.4,,,,,,,,
2020,May,1.2,,,,,,,,
2020,Jun,1.2,,,,,,,,
2020,Jul,1.6,,,,,,,,
2020,Aug,1.7,,,,,,,,
2020,Sep,1.7,,,,,,,,
2020,Oct,1.6,,,,,,,,
2020,Nov,1.6,,,,,,,,
2020,Dec ,1.6,,,,,,,,
2021,Jan,1.4,,,,,,,,
2021,Feb,1.3,,,,,,,,
2021,Mar,1.6,,,,,,,,
2021,Apr,3.0,,,,,,,,
2021,May,3.8,,,,,,,,
2021,Jun,4.5,,,,,,,,
2021,Jul,4.3,,,,,,,,
2021,Aug,4.0,,,,,,,,
2021,Sep,4.0,,,,,,,,
2021,Oct,4.6,,,,,,,,
2021,Nov,4.9,,,,,,,,
2021,Dec ,5.5,,,,,,,,
2022,Jan,6.0,,,,,,,,
2022,Feb,6.4,,,,,,,,
2022,Mar,6.5,,,,,,,,
2022,Apr,6.2,,,,,,,,
2022,May,6.0,,,,,,,,
2022,Jun,5.9,,,,,,,,
2022,Jul,5.9,,,,,,,,
2022,Aug,6.3,,,,,,,,
2022,Sep,6.6,,,,,,,,
2022,Oct,6.3,,,,,,,,
2022,Nov,6.0,,,,,,,,
2022,Dec ,5.7,,,,,,,,
,,,,,,,,,,